,id_ap,ap_isu_id,title_ap,year,qualification,id_direction,title_direction,number_direction,structural_unit,on_check,laboriousness,loading_datetime
100,6905,14541,Технологии защиты информации,2021,bachelor,15814,Информационная безопасность,10.03.01,,in_work,619,2023-10-05 16:36:34.856323
101,6906,14544,Инфохимия,2021,bachelor,15776,Химическая технология,18.03.01,,in_work,485,2023-10-05 16:36:41.245341
102,6907,13354,Химия прикладных материалов / Chemistry of Applied Materials,2020,master,15779,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.04.02,,in_work,150,2023-10-05 16:36:44.743920
103,6908,13281,Цифровые системы управления,2020,bachelor,15789,Системы управления движением и навигация,24.03.02,,in_work,582,2023-10-05 16:36:51.598078
104,6909,13283,Технологии защиты информации,2020,bachelor,15815,Эксплуатация транспортно-технологических машин и комплексов,23.03.03,,in_work,512,2023-10-05 16:36:58.837805
105,6910,13259,Цифровое производство,2020,bachelor,15752,Приборостроение,12.03.01,,in_work,473,2023-10-05 16:37:05.201133
106,6911,13257,Информатика и программирование,2020,bachelor,15734,Прикладная математика и информатика,01.03.02,,in_work,486,2023-10-05 16:37:12.715730
107,6912,13262,Компьютерные системы и технологии,2020,bachelor,15738,Информатика и вычислительная техника,09.03.01,,in_work,526,2023-10-05 16:37:19.133630
108,6913,13258,Цифровое производство,2020,bachelor,15767,Автоматизация технологических процессов и производств,15.03.04,,in_work,492,2023-10-05 16:37:25.424606
109,6914,13274,Цифровые системы управления,2020,bachelor,15764,Электроэнергетика и электротехника,13.03.02,,in_work,586,2023-10-05 16:37:32.468487
110,6915,12977,Компьютерные системы и технологии,2019,bachelor,15738,Информатика и вычислительная техника,09.03.01,,in_work,240,2023-10-05 16:37:34.462709
111,6916,12997,Цифровые системы управления,2019,bachelor,15792,Управление в технических системах,27.03.04,,in_work,240,2023-10-05 16:37:36.634379
112,6917,14585,Инновационное предпринимательство / Innovation Entrepreneurship,2021,master,15798,Инноватика,27.04.05,,in_work,456,2023-10-05 16:37:41.252977
113,6918,13265,Цифровые системы управления,2020,bachelor,15792,Управление в технических системах,27.03.04,,in_work,554,2023-10-05 16:37:48.260295
114,6919,13263,Робототехника,2020,bachelor,15768,Мехатроника и робототехника,15.03.06,,in_work,592,2023-10-05 16:37:55.139095
115,6921,14536,Индустриальные киберфизические системы,2021,bachelor,15752,Приборостроение,12.03.01,,in_work,477,2023-10-05 16:38:01.641671
116,6922,13350,Биоэкономика и управление ресурсами,2020,master,15779,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",18.04.02,,in_work,165,2023-10-05 16:38:05.405478
117,6923,13364,Молекулярная биология и биотехнология / Molecular Biology and Biotechnology,2020,master,15783,Биотехнология,19.04.01,,in_work,165,2023-10-05 16:38:08.944736
118,6924,13372,Инфохимия / Infochemistry,2020,master,15783,Биотехнология,19.04.01,,in_work,135,2023-10-05 16:38:12.696791
