,text,date,likes
20,"Год только начался… стоп, в смысле завтра март? 🤯
 
Иногда время пролетает быстро, а у тебя остается чувство, что ты совсем ничего не успел. Поговорили с коллегами из Groupe SEB, которые дали несколько советов о планировании года, несмотря на меняющиеся обстоятельства. Листай карточки и начинай составлять план на ближайшие месяцы уже сейчас! 
 
А если ты уже готов к стремительному развитию в этом году, подавай заявку на стажировку от Groupe SEB: fut.ru/be-in-place_groupe-seb ✌",1677582003,12
21,"Рекрутер — первый человек в компании, с которым ты познакомишься при устройстве на работу. Но как же произвести на него хорошее впечатление и проложить путь к желаемому офферу? 🤔 
 
Мы попросили рекрутера Сбера дать несколько наставлений будущим стажерам и объяснить, как эффективно взаимодействовать с работодателем во время отбора. Многие советы могут показаться очевидными, но поверь, далеко не все соблюдают эти простые правила, поэтому используй шанс выделиться среди других соискателей! 💪🏻 
 
Запоминай карьерные лайфхаки, следи за новостями на страничке Сбера и жди старта программы — fut.ru/sberseasons_trainees 👨🏼‍💻 
 
#лайфхак@futuretoday #Сбер #FutureToday",1677574800,20
22,"Лучше один раз увидеть, чем сто раз услышать о стажировке в ПГК! Читай про набор на 10 направлений в крупнейшую логистическую компанию и решайся 💫
 
На стажировке тебя ждет: 
— Выбор направлений от маркетинга до технического развития 
— Корпоративные плюшки: медицинская страховка со стоматологией и фитнес-зал 
— Комфортный офис в центре Москвы в шаговой доступности от станции метро Комсомольская 
— Гибкий график работы 
— Перспектива трудоустройства в штат. 
 
Тебе точно стоит подать заявку, если ты: 
— Студент 3−4 курса бакалавриата или магистратуры очной формы обучения 
— Готов работать 25 и более часов в неделю 
— Хочешь развиваться в кругу профессионалов и работать под руководством опытных менторов и кураторов. 
 
Изучай подробности о стажировке, прием заявок стартует в феврале 2023 года — https://fut.ru/PGK_career ✌
 
#стажировка@futuretoday #ПГК #FutureToday",1677556801,13
23,"Умение продавать – искусство, а digital-продажи ‒ это то, чему ты можешь научиться на стажировке «Развитие цифровых каналов продаж» в СИБУРе! 
 
Ты сможешь решать реальные бизнес-задачи в команде профессионалов и единомышленников. 
 
📝 Чем предстоит заниматься? 
‒ оптимизировать процесс «от заказа до платежа» 
‒ разрабатывать систему управления взаимоотношений с клиентами (CRM) 
‒ автоматизировать бизнес-процессы и выстраивать эффективные коммуникации с покупателями (по системе Agile) 
‒ формировать концепции новой организационной структуры продаж 
 
🙋‍♂ Ты идеально подходишь, если: 
‒ учишься на последнем курсе бакалавриата или на 1-2 курсе магистратуры на экономическом направлении 
‒ уверенно владеешь Microsoft Office 
‒ твой уровень английского Intermediate и выше 
‒ умеешь собирать и анализировать информацию. 
 
Твоим преимуществом будет опыт участия в кейс-чемпионатах и умение круто провести деловую презентацию! 
 
✅ Твою заявку ждут на https://fut.ru/intern-in-sibur
 
#стажировка@futuretoday #СИБУР #FutureToday",1677517203,9
24,"De jure: учишься на юридическом 
De facto: переживаешь, что не найдешь себя в сфере и не построишь успешную карьеру 🙄
 
Собрали все известные стереотипы о юриспруденции и подготовили карточки о развитии в этой сфере: теперь ты точно будешь знать, что тебя ждет, и будешь готов справиться с любым форс-мажором 😎 
 
Чтобы точно оставаться в курсе, подписывайся на FutureToday и нашу карьерную рассылку — мы регулярно публикуем стажировки и вакансии для юристов: fut.ru/lawyer_catalog ⚖",1677510004,14
25,"Проверяешь телефон каждый пять минут, отвлекаясь от серьезных задач? Этот тревожный звоночек означает, что у тебя есть проблемы с концентрацией внимания. Пора исправлять ситуацию! ☝🏻 
 
В карточках мы собрали несколько практик по улучшению концентрации. Они точно помогут тебе сосредоточиться на важных делах — проверено сотрудниками ОТП Банка 😉 
 
А после прочтения карточек предлагаем тебе сфокусироваться на не менее полезной задаче, а именно — на подаче заявки на стажировку в ОТП Банк: https://fut.ru/otp_bank_trainee 👩🏻‍💻 
 
#лайфхак@futuretoday #ОТПБанк #FutureToday",1677488405,17
26,"Что получится, если сложить работу с гибким графиком, параллельную учебу в вузе, реальные проекты и интерактивную адаптацию в компании? Правильный ответ — стажировка в QIWI! ✨ 
 
Мы спросили стажеров компании о том, как им удается совмещать учебу и работу, чем стажировка отличается от обучения в вузе и какие советы они могли бы дать будущим коллегам. Читай об опыте каждого из них в карточках 👇🏻 
 
Ну а если рассказы наших фрешменов вдохновили тебя на новые карьерные свершения, присматривайся к направлениям стажировки в QIWI и жди начала отбора — https://fut.ru/freshqiwi_trainee 🔍 
 
#лайфхак@futuretoday #QIWI #FutureToday",1677315601,9
27,"Перед тем как выбрать компанию для стажировки всегда хочется узнать о внутрянке работы, сравнить свои ожидания с реальностью и задать вопросы тем, кто уже получил опыт.

Анастасия Семенова поделилась с нами своей историей прохождения стажировки в Уралсибе. Читай карточки, чтобы узнать, как происходит процесс отбора стажеров и какие практические задачки они решают 👇

Если тоже хочешь стать частью дружной команды Уралсиб, то подавай заявку на стажировку: https://fut.ru/uralsib_internship

#интервью@futuretoday #Уралсиб #FutureToday",1677250802,28
28,"Ищешь стажировку в сфере финансов, экономики, права и смежных направлениях? У Б1 есть 31 вариант!

Кроме большого выбора направлений на стажировке у тебя будут:
— гибкий график, который можно совмещать с учебой
— официальное трудоустройство
— возможность попасть в штат.

Если ты выпускник или студент старших курсов, хочешь развивать бизнес клиентов и внедрять в него современные IT-решения, найди свою стажировку в Департаменте консалтинга: https://fut.ru/B1_consulting_2 💥 

А если тебе нравится сфера корпоративного налогообложения и права, узнай подробнее про стажировку в Департаменте налогов, права и сопровождения бизнеса: https://fut.ru/B1_tax_internship 💥 

#стажировка@futuretoday #Б1 #FutureToday",1677243601,9
29,"Никто не может грустить, когда у него есть грамотный HR-специалист 😍 А как таким стать — узнаешь на международном курсе HR Starter.

Ты научишься понимать основные HR-процессы (от набора персонала до развития бренда работодателя) и использовать современные принципы управления в деловой среде. 

Тебя ждут:
— 36 онлайн-лекций
— воркшопы с другими студентами
— бонусные материалы в виде лекций и подкастов.

Если ты студент последних курсов или уже получил диплом и хочешь расширить свои знания для работы в HR, то регистрируйся на курс: https://fut.ru/hrstarter

#ивенты@futuretoday #HRStarter #FutureToday",1677236400,17
30,"Весна начнется с классных событий, ведь у нас для тебя сразу четыре масштабных ивента, которые нельзя пропустить! 
 
Наверняка ты видел в требованиях вакансий «уверенный пользователь 1С:Бухгалтерия 8.3», но как стать этим уверенным пользователем?
 
Приходи на практикум по 1С для начинающих бухгалтеров от Актион и сможешь добавить новый пунктик в свое резюме! Тебя научат самым важным операциям в этой программе!
 
Когда? 28 февраля с 12:00 до 13:30 
Где? Онлайн — нужно только зарегистрироваться
 
✅ Ссылка для регистрации: https://fut.ru/practicum_action 
 
Для тех, кто задумывается о поступлении в магистратуру, у нас есть полезный ивент:
 
Олимпиада РЭШ для поступающих на программы «Финансы, инвестиции, банки» и «Мастер наук по финансам» ‒ это возможность досрочно поступить в престижную магистратуру, получить грант на обучение до 75% и потренироваться в прохождении вступительных экзаменов.
 
Когда? Регистрация открыта до 27 февраля, олимпиада пройдет 4 марта 
Какой формат? Онлайн-тестирование, продолжительность ‒ 2,5 часа с перерывами
 
✅ Зарегистрироваться можешь тут: https://fut.ru/olymp_nes 
 
А если ты учишься на технической специальности, то форум TechnoCareer может стать стартом твоей карьеры!
 
TechnoCareer ‒ это карьерный форум для студентов и выпускников технических направлений. 
Ты познакомишься с 15+ работодателями, посетишь лекции и мастер-классы по твоей специальности, попадешь в тусовку единомышленников, HR и экспертов!
 
Когда? 22 марта с 15:00 до 19:00 
Где? Москва, ЦВК «Экспоцентр» 
Как попасть? Зарегистрируйся и приходи!
 
А еще тебя ждут розыгрыши, призы, мерч и пропуск в закрытый ТГ-канал!
✅ Переходи по ссылке: https://fut.ru/technocareer_2023 
 
ProFinance – это карьерный форум для начинающих экономистов и финансистов. Тебя ждут более 15 крупных компаний с открытыми вакансиями, кейсы, мастер-классы, Q&A со спикерами, конкурсы, призы и нетворкинг!
 
Когда? 23 марта с 15:00 до 19:00 
Где? Москва, ЦВК «Экспоцентр» 
Как попасть? Просто зарегистрируйся и не забудь позвать друзей!
 
Среди участников, которые придут с 3+ друзьями будет разыгрываться колонка JBL Flip 5 и наушники Apple AirPods Pro 2!
 
✅ Ссылка для регистрации: https://fut.ru/profinance_2023",1677164403,12
31,"6 минут длится серия «Смешариков», 6 материков на планете, 6 сторон кубика Рубика, 6 направлений практики от «Газстройпрома»! 🌟
 
Тебя ждет:
‒ удобный график, который можно совмещать с учебой
‒ участие в проектах международного масштаба
‒ насыщенная корпоративная жизнь: конкурсы, челленджи, выезды. 
 
Ты идеально подходишь, если:
‒ живешь и готов работать в Санкт-Петербурге
‒ являешься студентом 3-4 курса бакалавриата или магистратуры
‒ учишься на одном из направлений: математика, экономика, логистика, производственная безопасность, охрана труда, гостиничное дело, система менеджмента качества или корпоративное управление. 
 
✅ Твою заявку ждут тут https://fut.ru/gazstrojprom_praktika",1677157200,9
32,"Держи — это купон на хорошее настроение. Используй его после тяжелого рабочего дня. А вот этот — на отмену переработок. Он многоразовый и бессрочный, пользуйся им всегда 🎟 
 
Вместе с коллегами из AB InBev Efes пофантазировали, какие купоны сделали бы рабочий день идеальным. Предлагаем тебе задуматься вместе с нами — пиши в комменты, какие еще купоны нужно добавить! Такая практика поможет зарядиться вдохновением и пройти отбор на стажировку в AB InBev Efes — https://fut.ru/lets_abinbevefes ❤💙

#ништяки@futuretoday #ABInBevEfes #FutureToday",1677142802,14
