,text,date,likes
20,"🚀 Итоги третьей недели Школы Changellenge »
Рассказываем, какие карьерные советы дали участникам эксперты и как команды оттачивали навыки на реальных бизнес-проектах.

Следующий поток Школы Changellenge » пройдет летом. За 5 недель вы сможете продвинуться в своей карьере, а также повысить шансы на прохождение отбора на стажировку и получение оффера. Подробнее о Школе: https://clck.ru/33c63T

#education@changellengeglobal #Changellenge #CLSchool",1677175920,6
21,"Marvel? DC? DS! Data Science — одно из самых востребованных направлений в аналитике. Специалисты занимаются изучением и анализом данных, работают с языками программирования (Python, SQL), проводят тестирования бизнес-моделей и создают программы machine learning, которые автоматизируют сложные рабочие процессы. Готовы погрузиться в мир изучения данных? 

Подавайте заявку на магистерскую программу Альфа-Банка «Машинный интеллект в финансах» в МФТИ. За два года вы углубитесь в физико-математические и технические предметы, создадите несколько проектов в финтехе, получите навыки командной работы, лидерства и публичных выступлений. Бонусом — стипендия, стажировка в банке и возможность попасть в штат. 

Вы — идеальный магистрант, если:
— любите математику; 
— умеете программировать;
— знаете основы подготовки данных для машинного обучения; 
— хотите углубиться в практику; 
— имеете диплом бакалавра или специалиста любого вуза. 

Презентация программы пройдет уже первого марта, успейте зарегистрироваться: https://clck.ru/33baAk 

#career@changellengeglobal #АльфаБанк #Changellenge",1677161520,3
22,"Как пройти самый короткий путь к офферу в дата-аналитике? На старте бывает сложно понять, в каком направлении двигаться и как не тратить силы впустую. В карточках разбираем ошибки, которые тормозят развитие вашей карьеры 👇 

Правильной войти в сферу поможет программа «Профессия аналитика данных»! На курсе вы освоите все необходимые для работы навыки и закрепите их на практике под руководством действующих дата-аналитиков! 

До 23 февраля действует скидка 24% »

Регистрация: https://u.to/_w7LHQ 

#education@changellengeglobal #Changellenge #CL_DataAnalyst",1677089160,8
23,"Хотите построить карьеру в компаниях уровня Тинькофф, Яндекс и Авито, но получаете отказы после скрининга резюме или боитесь податься? Создайте резюме и сопроводительное письмо с нуля под руководством эксперта Школы Changellenge » и подайте заявку на стажировку сразу на буткемпе.

🕖 Когда: 3 марта в 18:00 Мск
📍 Где: г. Москва, Финансовый Университет, Ленинградский проспект, 51 корпус, аудитория 0909
📝 Регистрация: https://clck.ru/33c9BD
❗️ Важно: регистрация для не студентов ФУ заканчивается в 16:00 28 февраля

Буткемп — это возможность на практике подготовиться к отбору в крупную компанию и узнать инсайты от эксперта Школы Changellenge ». Мероприятия будет полезно студентам всех курсов, которые стремятся найти интересную стажировку или работу и увеличить свои шансы на оффер.

На буткемпе вы:
✅ поймете структуру резюме и сопроводительного письма, узнаете лайфхаки, которые обратят внимание HR-эксперта именно на ваше CV;
✅ разберете, какие ошибки мешают 90% кандидатов пройти скрининг резюме и как их избежать;
✅ во время воркшопа составите сильное резюме под руководством эксперта Школы Changellenge »;
✅ поймете как работать с hh.ru: оформлять профиль, искать вакансии;
✅ прямо на воркшопе откликнитесь на интересующие вас вакансии.

Отправьте нам свое резюме до 1 марта, и, возможно, именно его эксперт детально рассмотрит на буткемпе. Только два резюме будут анонимно разобраны, не упустите возможность и отправляйте CV уже сейчаc »https://clck.ru/33c9BD

Все участники получат шаблон структуры резюме. 🎁 А для первых 30 зарегистрировавшихся — чек-лист по составлению резюме от экспертов Школы Changellenge » в подарок!

📝 Регистрируйтесь » https://clck.ru/33c9BD

#education@changellengeglobal #Changellenge #CLSchool",1677082440,4
24,"Как правильно начать карьеру аналитика данных и не гоняться за оффером в топовую компанию годами? Присоединяйтесь к бесплатному вебинару «Карьера аналитика данных: как покорить крупную компанию» сегодня в 19:00 Мск. Вас ждут советы по трудоустройству и живое общение с действующим дата-аналитиком!

Спикер мероприятия — Ярослав Швец, заместитель директора по B2B аналитике в Agoda (Booking Holdings), ex-руководитель отдела аналитики в Яндексе, расскажет, как получить первый опыт работы и на что обращают внимание нанимающие менеджеры при отборе кандидатов.

📝 Во время практической части вебинара вы потренируетесь отвечать на вопросы HR и решать тестовые задания с обратной связью от спикера — присоединяйтесь!

На трансляции вы узнаете:

✔ как войти в аналитику данных и попасть на стажировку в большую компанию; 
✔ какие навыки необходимы специалисту и с чего начать обучение;
✔ как стартовать с SQL и Python без матанализа;
✔ как начать карьеру, если джунов набирают с опытом работы от года;
✔ каких кандидатов выбирают в свою команду руководители отделов дата-аналитики; 
✔ какие вопросы и тестовые задания дают на собеседованиях.

🗣 В завершение проведем Q&A-сессию с экспертом, где вы сможете задать все вопросы!

Регистрируйтесь по ссылке » https://u.to/rOO9HQ 

#education@changellengeglobal #Changellenge #CL_DataAnalyst",1676981280,6
25,"Освойте ключевые навыки финансиста, составьте сильное резюме и получите опыт работы над бизнес-проектами на программе «Профессия финансового аналитика». Подготовьтесь к старту успешной карьеры в финансах!

Подробнее о курсе: https://clck.ru/33b6vM 

#education@changellengeglobal #Changellenge #CL_BusinessAnalysis #CL_DataAnalyst #CL_FinanceAnalyst #CL_AnalystPRO",1676916060,9
26,"Как новичку без профильного образования попасть в консалтинговую компанию с мировым именем? Для многих это является неосуществимой мечтой, но построить карьеру в консалтинге может каждый!

О своем пути в профессии расскажет эксперт из Arthur Consulting (ex-Arthur D. Little) на бесплатном вебинаре «Как бизнес-аналитику попасть в консалтинг» 22 февраля в 19:00 Мск. 🎤 В конце будет Q&A-сессия с экспертом — сможете задать все вопросы и перенять профессиональный опыт!

На трансляции вы узнаете:
🔹 какие навыки нужны специалисту в консалтинге и как их прокачать;
🔹 как проходит обычный день консультанта на примере 3 реальных задач;
🔹 как подготовиться к 4 этапам отбора в консалтинговые фирмы;
🔹 как перейти в консалтинг с навыками бизнес-аналитика.

Регистрируйтесь по ссылке: https://u.to/rd_dHQ

#education@changellengeglobal #Changellenge #CL_BusinessAnalysis",1676901781,3
27,"Надоели отказы после собеседования? Хотите попасть на стажировку или получить оффер в крупную компанию, но не уверены, что сможете пройти интервью с HR, нанимающим менеджером и топ-менеджером? Приходите на бесплатный вебинар «Как получить оффер после интервью?» 20 февраля в 19:00 Мск и узнайте лайфхаки от HR-специалиста с многолетним опытом работы.

🕖 Когда: 20 февраля в 19:00 Мск
📍 Где: бесплатная онлайн-трансляция 
📝 Регистрация: https://clck.ru/33asnS

👩‍🏫 Эксперт мероприятия — Светлана Теплых — сертифицированный карьерный консультант. Светлана более 5 лет развивала молодежные HR-бренды компаний, а сейчас занимает должность HRBP в ПАО «Мосэнерго».

На трансляции вы узнаете: 
✔ основные виды интервью и что проверяют на каждом из них;
✔ как подготовиться к разным типами собеседований: с HR, нанимающим менеджером и топ-менеджером; 
✔ как успешно пройти все этапы интервью и получить оффер уже этой весной;
✔ экспертные лайфхаки для ответов на каверзные вопросы HR-менеджера.

🎁 Первым 50 зарегистрировавшимся участникам подарок — чек-лист по составлению резюме ﻿от экспертов Школы Changellenge »

Регистрируйтесь и получите оффер уже этой весной!

#education@changellengeglobal #Changellenge #CLSchool",1676888035,7
28,"Мечтали попасть на кинопостер крутого блокбастера? Вуаля — два клика и все готово!

В новом проекте МТС «Работа без драмы» команда создала целую коллекцию кинопостеров о самых пронзительных карьерных сюжетах. Интересно, какие из них знакомы вам лучше всего? 

Расскажите нейросети свою историю и создайте собственный кинопостер. А еще участвуйте в конкурсе, наберите наибольшее количество лайков и получите подарок МТС: Мечтали попасть на кинопостер крутого блокбастера? Вуаля — два клика и все готово!

В новом проекте МТС «Работа без драмы» команда создала целую коллекцию кинопостеров о самых пронзительных карьерных сюжетах. Интересно, какие из них знакомы вам лучше всего? 

Расскажите нейросети свою историю и создайте собственный кинопостер. А еще участвуйте в конкурсе, наберите наибольшее количество лайков и получите подарок МТС: https://clck.ru/33a5pW 

#Changellenge #МТС #работабездрам",1676719335,6
29,"Хотите начать карьеру аналитика данных в большой компании, но переживаете, что не сможете пройти отбор на стажировку? Присоединяйтесь к бесплатному вебинару «Карьера аналитика данных: как покорить крупную компанию» 21 февраля в 19:00 Мск!

Ярослав Швец — заместитель директора по B2B аналитике в Agoda (Booking Holdings), ex-руководитель отдела аналитики в Яндексе — даст советы начинающим специалистам и расскажет о подводных камнях при трудоустройстве. Также Ярослав объяснит, чем отличается работа в топовых компаниях и какие карьерные перспективы ждут стажеров и джунов.

📝 Во время практической части вебинара вы потренируетесь отвечать на вопросы HR и решать тестовые задания с обратной связью от спикера — присоединяйтесь!

На трансляции вы поймете:

🔸 как войти в аналитику данных и попасть на стажировку в большую компанию; 
🔸 какие навыки необходимы специалисту и с чего начать обучение;
🔸 как стартовать с SQL и Python без матанализа;
🔸 как начать карьеру, если джунов набирают с опытом работы от года;
🔸 каких кандидатов выбирают в свою команду руководители отделов дата-аналитики; 
🔸 какие вопросы и тестовые задания дают на собеседованиях.

📢 В завершение проведем Q&A-сессию с экспертом, где вы сможете задать все вопросы!

Регистрируйтесь по ссылке » https://u.to/8ASmHQ 

#education@changellengeglobal #Changellenge #CL_DataAnalyst",1676714521,3
