,0
36,"[(59692054, 34356918), (59692054, 74087084), (59692054, 143058316), (59692054, 163921226), (59692054, 510136102), (59692054, 599412839)]"
37,"[(28448325, 34021053), (28448325, 67098684), (28448325, 78101906), (28448325, 83122222), (28448325, 122088983), (28448325, 133706197), (28448325, 165836614)]"
38,"[(207557059, 27972236), (207557059, 134168267), (207557059, 517298450), (207557059, 560139499)]"
39,"[(2752953, 119491), (2752953, 2265211), (2752953, 2477013), (2752953, 3577694), (2752953, 6045778), (2752953, 6337301), (2752953, 8787318), (2752953, 26355196), (2752953, 202897675), (2752953, 299681264)]"
40,"[(63907537, 68688190), (63907537, 214824782), (63907537, 305703132), (63907537, 306821301)]"
41,"[(52139457, 12374898), (52139457, 25182361), (52139457, 54099216), (52139457, 138070980), (52139457, 201825023), (52139457, 285646907), (52139457, 287922651)]"
42,"[(558571943, 38126734), (558571943, 217651200), (558571943, 232008398), (558571943, 329883727), (558571943, 353875602)]"
43,"[(182470566, 55882985), (182470566, 68192656), (182470566, 104214393), (182470566, 106397337), (182470566, 119609238), (182470566, 177365424), (182470566, 255896047)]"
44,"[(53310821, 5267523), (53310821, 15634350), (53310821, 21231550), (53310821, 22922307), (53310821, 31059013), (53310821, 60227067), (53310821, 160159962)]"
45,"[(7039673, 5488544), (7039673, 8906454), (7039673, 12391306), (7039673, 12942318), (7039673, 20451041), (7039673, 40118610), (7039673, 41329155), (7039673, 124967904)]"
46,"[(218611019, 26139809), (218611019, 34280235), (218611019, 36011094), (218611019, 51854899), (218611019, 76048550), (218611019, 368512685)]"
47,"[(204666689, 28789270), (204666689, 88006154), (204666689, 175616435), (204666689, 182789886), (204666689, 224154543), (204666689, 469090260)]"
48,"[(77596220, 17663316), (77596220, 18830004), (77596220, 34321662), (77596220, 44067501)]"
49,"[(21329671, 3681337), (21329671, 8518255), (21329671, 10579763), (21329671, 11445066), (21329671, 14125058), (21329671, 15871709), (21329671, 22194966), (21329671, 27991046), (21329671, 30443965), (21329671, 31835322), (21329671, 35784202), (21329671, 39612965), (21329671, 47199502), (21329671, 47366346), (21329671, 47650363), (21329671, 49698902), (21329671, 50964403), (21329671, 52418466), (21329671, 55536106), (21329671, 59310429), (21329671, 68639145), (21329671, 69718804), (21329671, 70584870), (21329671, 101502296), (21329671, 108107509), (21329671, 121140348), (21329671, 125590746), (21329671, 136457053), (21329671, 143217028), (21329671, 152237034), (21329671, 156569215), (21329671, 156597543), (21329671, 157081933), (21329671, 167041457), (21329671, 172994890), (21329671, 176513617), (21329671, 215249213), (21329671, 220830059), (21329671, 232379680), (21329671, 267276240), (21329671, 294257904), (21329671, 307943422), (21329671, 338946080), (21329671, 377912523), (21329671, 439752137), (21329671, 499514380)]"
50,"[(246995451, 42261253), (246995451, 56227809), (246995451, 68497683), (246995451, 76165830), (246995451, 79129621), (246995451, 96966980), (246995451, 170384587), (246995451, 180067586), (246995451, 196160022), (246995451, 201319779), (246995451, 203139121), (246995451, 219272957), (246995451, 220833500), (246995451, 230086711), (246995451, 239559951), (246995451, 273432891), (246995451, 286273988), (246995451, 294448049), (246995451, 303732242), (246995451, 306027567), (246995451, 361674260), (246995451, 367673132), (246995451, 367820623), (246995451, 404766085), (246995451, 445008754), (246995451, 522614780)]"
